Source;Target;Type;Label;Weight
[H]Mesquite;[C]San Francisco;directed;30.86;1.0008778517380668
[H]Miami Beach;[C]San Francisco;directed;171.11;1.0048674404050748
[H]National City;[C]San Francisco;directed;224.41;1.006383626329863
[H]Orlando;[C]San Francisco;directed;323.51;1.0092026511918986
[H]Palm Desert;[C]San Francisco;directed;261.8;1.007447232178415
[H]Raleigh;[C]San Francisco;directed;77.61;1.0022077146270694
[H]San Rafael;[C]San Francisco;directed;88.83;1.00252688172043
[H]Southern Pines;[C]San Francisco;directed;56.1;1.0015958354668033
[H]Sunrise;[C]San Francisco;directed;83.22;1.0023672981737497
[H]Tempe;[C]San Francisco;directed;66.39;1.001888547533709
[H]West Hollywood;[C]San Francisco;directed;171.11;1.0048674404050748
[H]West Palm Beach;[C]San Francisco;directed;473.12;1.0134584968993572
[H]Weston;[C]San Francisco;directed;75.74;1.0021545201115094
[H]Winter Garden;[C]San Francisco;directed;284.24;1.0080855663651362
[H]Inglewood;[C]Singapore;directed;91.14;1.0025925925925927
[H]Miami Beach;[C]Singapore;directed;365.49;1.0103968253968254
[H]Pasadena;[C]Singapore;directed;73.47;1.0020899470899471
[H]Miami Beach;[C]Brooklyn;directed;20457.54;1.5819406041986688
[H]Las Vegas;[C]Dorset;directed;1989.28;1.0565875860499516
[H]Burlingame;[C]Grapevine;directed;162.54;1.0046236559139785
[H]Denver;[C]Grapevine;directed;469.69;1.0133609262103886
[H]Fort Lauderdale;[C]Grapevine;directed;114.35;1.003252830403368
[H]Las Vegas;[C]Grapevine;directed;438.02;1.0124600329976674
[H]Los Angeles;[C]Grapevine;directed;86.94;1.0024731182795699
[H]Reston;[C]Grapevine;directed;328.86;1.0093548387096773
[H]Fairfax;[C]Hong Kong Sar;directed;298.08;1.008479262672811
[H]Irvine;[C]Hong Kong Sar;directed;111.32;1.0031666382204016
[H]Birmingham;[C]Meads Bay;directed;112.52;1.003200773738408
[H]Cincinnati;[C]Meads Bay;directed;93.12;1.0026489161973033
[H]Jersey City;[C]Meads Bay;directed;124.16;1.003531888263071
[H]Knoxville;[C]Meads Bay;directed;523.8;1.014900153609831
[H]Renton;[C]Meads Bay;directed;574.24;1.0163349832167037
[H]Seaside;[C]Meads Bay;directed;99.91;1.00284206633669
[H]Westminster;[C]Meads Bay;directed;2037.0;1.0579450418160095
