Id;Label;lat;lng;Type
[H]Kenner;Kenner;29.9942265;-90.2417806;target
[H]Bentonville;Bentonville;36.3728538;-94.2088172;target
[H]Scottsdale;Scottsdale;33.4942189;-111.9260184;target
[H]Maui Kahului;Maui Kahului;20.8747708;-156.4529879461996;target
[H]Coldwater;Coldwater;37.2689131;-99.3267808;target
[H]Humble;Humble;29.9988312;-95.2621553;target
[H]Kansas City;Kansas City;39.100105;-94.5781416;target
[H]Laguna Beach;Laguna Beach;33.5426975;-117.785366;target
[H]Matteson;Matteson;41.509832;-87.739267;target
[H]Fort Lee;Fort Lee;40.8509333;-73.9701382;target
[H]Chantilly;Chantilly;49.1799586;2.47578765999255;target
[H]Key West;Key West;24.5625566;-81.7724368;target
[H]Lake Buena Vista;Lake Buena Vista;28.38034955;-81.5297578369267;target
[H]Killeen;Killeen;31.1171441;-97.727796;target
[H]Daytona Beach Shores;Daytona Beach Shores;29.1760933;-80.9828323;target
[H]Louisville;Louisville;38.2542376;-85.759407;target
[H]Pittsburgh;Pittsburgh;40.4416941;-79.9900861;target
[H]West Fargo;West Fargo;46.874967;-96.900362;target
[H]Branson;Branson;36.6411357;-93.2175285;target
[H]Gatlinburg;Gatlinburg;35.714259;-83.5101638;target
[H]Bowling Green;Bowling Green;36.9903199;-86.4436018;target
[H]Hauppauge;Hauppauge;40.8239353;-73.20595713476213;target
[H]Newburgh;Newburgh;41.5034271;-74.0104179;target
[H]North Myrtle Beach;North Myrtle Beach;33.8278405;-78.6800323;target
[H]Albert Lea;Albert Lea;43.6480127;-93.3682656;target
[C]Aventura;Aventura;25.9564812;-80.1392121;source
[H]San Luis Obispo;San Luis Obispo;35.3540209;-120.3757163;target
[H]Wichita;Wichita;37.6922361;-97.3375448;target
[H]Mckinney;Mckinney;33.1976496;-96.6154471;target
[H]Key Biscayne;Key Biscayne;25.6968351;-80.1635261;target
[C]Glattbrugg;Glattbrugg;47.4326312;8.5647892;source
[H]Grand Rapids;Grand Rapids;42.9632405;-85.6678639;target
[H]Anderson;Anderson;31.7819242;-95.6258199;target
[H]Hickory;Hickory;37.959055;-93.3334746;target
[H]Laurel;Laurel;31.6940509;-89.1306124;target
[H]Palmdale;Palmdale;34.5793131;-118.1171108;target
[H]Big Island , Kailua-Kona;Big Island , Kailua-Kona;19.6478398;-155.998093;target
[H]Fargo;Fargo;46.877229;-96.789821;target
[H]Fort Myers;Fort Myers;26.640628;-81.8723084;target
[H]Incline Village;Incline Village;39.2501246;-119.951909;target
[H]Langhorne;Langhorne;40.1745538;-74.9226665;target
[H]Memphis;Memphis;35.1335022;-89.9668758;target
[H]Palm Springs;Palm Springs;33.77217945;-116.49529769683984;target
[H]Springfield;Springfield;39.7990175;-89.6439575;target
[H]St. Pete Beach;St. Pete Beach;27.7253065;-82.741212;target
[H]Waco;Waco;31.549333;-97.1466695;target
[H]El Segundo;El Segundo;33.917028;-118.4156337;target
[H]Desert Hot Springs;Desert Hot Springs;33.961124;-116.5016784;target
[H]El Portal;El Portal;25.8553739;-80.193103;target
[H]Kissimmee;Kissimmee;28.2918995;-81.4075838;target
[H]Sedona;Sedona;34.8679599;-111.7617165;target
[H]Sparks;Sparks;39.5404679;-119.7487235;target
[H]Casper;Casper;42.8501191;-106.325138;target
[H]Fallon;Fallon;47.5075937;6.4807726;target
[H]Moriarty;Moriarty;34.9900503;-106.049189;target
[H]St. George;St. George;37.104153;-113.5841313;target
[H]Treasure Island;Treasure Island;37.8233541;-122.37015310228703;target
[H]Petaluma;Petaluma;38.2325829;-122.636465;target
[H]Arroyo Grande;Arroyo Grande;35.1185869;-120.590725;target
[H]Colorado Springs;Colorado Springs;38.8339578;-104.825348;target
[H]Texarkana;Texarkana;33.44667445;-94.07714830522016;target
[H]Olathe;Olathe;38.8838856;-94.81887;target
[C]Denver;Denver;39.7392364;-104.9848623;source
[H]Elkhart;Elkhart;41.6819935;-85.9766671;target
[H]Tuscaloosa;Tuscaloosa;33.2095614;-87.5675258;target
[H]Chapel Hill;Chapel Hill;35.9131542;-79.05578;target
[H]Dedham;Dedham;41.9063152;-94.8222082;target
[H]Fort Wayne;Fort Wayne;41.0799898;-85.1386015;target
[H]Lumberton;Lumberton;34.6183433;-79.0083993;target
[H]Rutherford;Rutherford;40.826489;-74.1068091;target
[H]Toledo;Toledo;39.8560679;-4.0239568;target
[H]Waterbury;Waterbury;41.5538091;-73.0438362;target
[H]Wilmington;Wilmington;39.7459468;-75.546589;target
[H]Bridgeton;Bridgeton;38.7566055;-90.42352;target
[H]Pismo Beach;Pismo Beach;33.7312058;-117.7697509;target
[H]Cranbury;Cranbury;40.3099385;-74.51772241230152;target
[H]East Hartford;East Hartford;41.7823216;-72.6120346;target
[H]Fredericksburg;Fredericksburg;38.3031837;-77.4605399;target
[H]Oakbrook;Oakbrook;39.1806323;-81.5206784;target
[H]Tulsa;Tulsa;36.1556805;-95.9929113;target
[H]Pensacola;Pensacola;30.421309;-87.2169149;target
[C]Shanghai;Shanghai;31.2322758;121.4692071;source
[H]Park City;Park City;40.6460921;-111.4979963;target
[H]Vienna;Vienna;48.2083537;16.3725042;target
[H]Overland Park;Overland Park;38.9742502;-94.6851702;target
[H]Anchorage;Anchorage;61.2163129;-149.894852;target
[H]Lakewood;Lakewood;39.7085736;-105.0846694;target
[H]Rochester;Rochester;43.157285;-77.615214;target
[H]Yonkers;Yonkers;40.9312099;-73.8987469;target
[H]Atlantic City;Atlantic City;39.3642852;-74.4229351;target
[H]Joplin;Joplin;37.08418;-94.51323;target
[H]Burbank;Burbank;34.1816482;-118.3258554;target
[C]Plymouth;Plymouth;50.3712659;-4.1425658;source
[H]Bloomington;Bloomington;39.1670396;-86.5342881;target
[H]Duck Key;Duck Key;24.778716000000003;-80.91390183832715;target
[H]Glendale;Glendale;34.1469416;-118.2478471;target
[C]Windsor;Windsor;51.48375775;-0.6040964041849046;source
